Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
14.609,0.073,0.073,0.093,0.088,0.098,0.083,0.103
14.629,0.068,0.093,0.083,0.088,0.083,0.093,0.088
14.648,0.073,0.073,0.088,0.083,0.098,0.088,0.093
14.668,0.068,0.088,0.078,0.088,0.083,0.093,0.088
14.687,0.073,0.073,0.088,0.088,0.093,0.103,0.093
14.707,0.073,0.078,0.083,0.088,0.088,0.088,0.088
14.727,0.073,0.073,0.093,0.103,0.098,0.088,0.098
14.746,0.073,0.088,0.083,0.083,0.083,0.088,0.088
14.766,0.073,0.078,0.088,0.088,0.093,0.093,0.088
14.785,0.073,0.083,0.083,0.088,0.088,0.088,0.093
14.805,0.068,0.078,0.078,0.088,0.093,0.088,0.093
14.824,0.078,0.078,0.083,0.083,0.088,0.083,0.088
14.844,0.068,0.078,0.078,0.083,0.088,0.088,0.083
14.863,0.068,0.068,0.088,0.083,0.088,0.088,0.098
14.883,0.068,0.083,0.083,0.083,0.093,0.103,0.093
14.902,0.073,0.078,0.083,0.088,0.107,0.093,0.093
14.922,0.073,0.078,0.083,0.093,0.088,0.088,0.088
14.941,0.078,0.073,0.083,0.088,0.088,0.083,0.093
14.961,0.073,0.078,0.083,0.088,0.093,0.093,0.093
14.98,0.068,0.078,0.093,0.078,0.088,0.088,0.098
15,0.063,0.083,0.088,0.098,0.093,0.098,0.093
15.02,0.073,0.083,0.078,0.088,0.088,0.093,0.093
15.039,0.068,0.088,0.073,0.093,0.083,0.093,0.083
15.059,0.078,0.073,0.088,0.083,0.088,0.083,0.093
15.078,0.068,0.078,0.083,0.088,0.093,0.103,0.093
15.098,0.073,0.078,0.093,0.083,0.093,0.088,0.098
15.117,0.059,0.088,0.083,0.093,0.083,0.098,0.088
15.137,0.083,0.078,0.088,0.083,0.093,0.088,0.093
15.156,0.068,0.088,0.073,0.093,0.078,0.098,0.083
15.176,0.078,0.073,0.093,0.083,0.098,0.083,0.098
15.195,0.068,0.088,0.078,0.088,0.083,0.098,0.088
15.215,0.073,0.078,0.098,0.088,0.098,0.093,0.103
15.234,0.063,0.083,0.078,0.093,0.088,0.093,0.083
15.254,0.083,0.073,0.083,0.083,0.088,0.093,0.093
15.273,0.068,0.083,0.078,0.088,0.083,0.088,0.088
15.293,0.078,0.073,0.093,0.088,0.098,0.088,0.103
15.312,0.073,0.083,0.083,0.088,0.088,0.083,0.088
15.332,0.073,0.078,0.088,0.088,0.098,0.093,0.098
15.352,0.063,0.083,0.083,0.073,0.083,0.093,0.088
15.371,0.073,0.078,0.083,0.088,0.093,0.088,0.093
15.391,0.073,0.083,0.078,0.088,0.088,0.088,0.093
15.41,0.073,0.078,0.088,0.083,0.098,0.088,0.093
15.43,0.083,0.073,0.083,0.083,0.088,0.093,0.088
15.449,0.073,0.083,0.083,0.088,0.093,0.093,0.093
15.469,0.068,0.083,0.093,0.088,0.093,0.093,0.098
15.488,0.068,0.078,0.078,0.093,0.088,0.093,0.093
15.508,0.073,0.073,0.083,0.093,0.088,0.088,0.093
15.527,0.073,0.083,0.083,0.088,0.073,0.088,0.078
15.547,0.073,0.073,0.093,0.078,0.088,0.093,0.098
15.566,0.068,0.078,0.088,0.088,0.088,0.098,0.093
15.586,0.068,0.083,0.083,0.088,0.088,0.088,0.088
15.605,0.068,0.078,0.073,0.093,0.083,0.093,0.088
15.625,0.078,0.073,0.083,0.083,0.088,0.083,0.083
15.645,0.068,0.083,0.083,0.088,0.088,0.098,0.088
15.664,0.073,0.078,0.093,0.083,0.093,0.088,0.098
15.684,0.063,0.088,0.083,0.098,0.088,0.098,0.093
15.703,0.073,0.078,0.083,0.083,0.093,0.083,0.093
15.723,0.068,0.083,0.073,0.093,0.083,0.093,0.083
15.742,0.078,0.073,0.088,0.078,0.088,0.088,0.093
15.762,0.068,0.093,0.078,0.093,0.088,0.098,0.093
15.781,0.073,0.078,0.088,0.083,0.098,0.088,0.103
15.801,0.068,0.083,0.078,0.098,0.088,0.093,0.093
15.82,0.083,0.078,0.088,0.083,0.093,0.088,0.093
15.84,0.068,0.083,0.073,0.093,0.078,0.093,0.088
15.859,0.078,0.073,0.093,0.088,0.098,0.088,0.098
15.879,0.068,0.088,0.083,0.093,0.088,0.093,0.088
15.898,0.073,0.073,0.088,0.088,0.098,0.088,0.098
15.918,0.068,0.083,0.078,0.083,0.083,0.093,0.083
15.937,0.078,0.083,0.088,0.088,0.093,0.098,0.093
15.957,0.063,0.078,0.078,0.088,0.088,0.093,0.083
15.977,0.073,0.078,0.088,0.083,0.098,0.093,0.098
15.996,0.073,0.078,0.083,0.083,0.083,0.088,0.088
16.016,0.073,0.083,0.088,0.088,0.093,0.093,0.098
16.035,0.068,0.078,0.083,0.088,0.088,0.093,0.093
16.055,0.068,0.098,0.083,0.093,0.093,0.088,0.093
16.074,0.073,0.073,0.083,0.088,0.088,0.088,0.093
16.094,0.068,0.083,0.073,0.088,0.088,0.093,0.093
16.113,0.088,0.078,0.088,0.083,0.088,0.088,0.088
16.133,0.068,0.083,0.083,0.088,0.093,0.093,0.093
16.152,0.068,0.078,0.083,0.083,0.107,0.093,0.103
16.172,0.068,0.078,0.078,0.098,0.088,0.088,0.088
16.191,0.078,0.073,0.083,0.088,0.088,0.083,0.093
16.211,0.073,0.078,0.083,0.088,0.088,0.093,0.098
16.23,0.073,0.078,0.093,0.078,0.093,0.088,0.098
16.25,0.068,0.088,0.088,0.093,0.093,0.093,0.088
16.27,0.073,0.078,0.083,0.088,0.088,0.093,0.088
16.289,0.068,0.078,0.078,0.098,0.078,0.093,0.088
16.309,0.083,0.073,0.088,0.083,0.088,0.083,0.093
16.328,0.073,0.083,0.078,0.088,0.088,0.103,0.093
16.348,0.073,0.078,0.093,0.083,0.098,0.088,0.098
16.367,0.063,0.083,0.083,0.098,0.088,0.093,0.093
16.387,0.073,0.068,0.088,0.083,0.093,0.088,0.093
16.406,0.068,0.078,0.073,0.093,0.083,0.093,0.083
16.426,0.078,0.073,0.093,0.088,0.093,0.088,0.098
16.445,0.063,0.088,0.078,0.088,0.093,0.103,0.088
16.465,0.068,0.073,0.088,0.088,0.093,0.093,0.098
16.484,0.063,0.088,0.078,0.088,0.088,0.093,0.088
16.504,0.078,0.078,0.083,0.088,0.093,0.093,0.093
16.523,0.073,0.078,0.078,0.088,0.083,0.093,0.083
16.543,0.078,0.078,0.093,0.098,0.098,0.088,0.098
16.562,0.073,0.083,0.083,0.083,0.088,0.088,0.093
16.582,0.073,0.078,0.088,0.088,0.093,0.093,0.098
16.602,0.068,0.083,0.083,0.088,0.083,0.088,0.088
16.621,0.078,0.088,0.083,0.093,0.093,0.088,0.093
16.641,0.068,0.073,0.083,0.088,0.088,0.083,0.088
16.66,0.073,0.078,0.083,0.088,0.093,0.093,0.103
16.68,0.073,0.078,0.088,0.078,0.088,0.088,0.088
16.699,0.068,0.078,0.083,0.083,0.093,0.098,0.098
16.719,0.068,0.083,0.098,0.088,0.088,0.093,0.093
16.738,0.063,0.078,0.078,0.093,0.088,0.088,0.093
16.758,0.068,0.073,0.083,0.088,0.088,0.083,0.088
16.777,0.073,0.078,0.083,0.088,0.078,0.093,0.093
16.797,0.073,0.078,0.088,0.078,0.098,0.088,0.093
16.816,0.063,0.088,0.088,0.093,0.088,0.098,0.093
16.836,0.068,0.078,0.083,0.083,0.088,0.093,0.103
16.855,0.068,0.078,0.078,0.093,0.088,0.093,0.088
16.875,0.073,0.068,0.083,0.083,0.093,0.083,0.093
16.895,0.073,0.083,0.083,0.093,0.088,0.098,0.093
16.914,0.073,0.078,0.088,0.078,0.098,0.088,0.098
16.934,0.063,0.088,0.083,0.098,0.093,0.103,0.093
16.953,0.068,0.078,0.088,0.083,0.088,0.093,0.088
16.973,0.073,0.083,0.073,0.093,0.078,0.093,0.088
16.992,0.078,0.073,0.088,0.083,0.088,0.083,0.093
17.012,0.068,0.093,0.083,0.093,0.083,0.103,0.093
17.031,0.073,0.078,0.093,0.083,0.098,0.088,0.103
17.051,0.063,0.083,0.078,0.088,0.093,0.098,0.093
17.07,0.078,0.078,0.083,0.088,0.093,0.093,0.093
17.09,0.068,0.083,0.078,0.088,0.083,0.093,0.083
17.109,0.078,0.073,0.098,0.093,0.098,0.083,0.093
17.129,0.068,0.083,0.078,0.088,0.088,0.093,0.088
17.148,0.073,0.078,0.088,0.088,0.098,0.088,0.103
17.168,0.063,0.083,0.083,0.073,0.083,0.093,0.088
17.187,0.078,0.088,0.083,0.088,0.093,0.098,0.088
17.207,0.068,0.083,0.078,0.088,0.088,0.088,0.083
17.227,0.078,0.078,0.093,0.088,0.098,0.093,0.103
17.246,0.068,0.073,0.083,0.088,0.083,0.083,0.088
17.266,0.073,0.083,0.088,0.088,0.098,0.093,0.098
17.285,0.068,0.078,0.088,0.083,0.088,0.093,0.093
17.305,0.073,0.083,0.083,0.098,0.088,0.093,0.093
17.324,0.068,0.073,0.083,0.088,0.088,0.083,0.083
17.344,0.073,0.073,0.073,0.088,0.093,0.088,0.103
17.363,0.073,0.073,0.093,0.083,0.088,0.093,0.088
17.383,0.068,0.083,0.088,0.088,0.093,0.098,0.093
17.402,0.073,0.078,0.083,0.083,0.103,0.093,0.093
17.422,0.063,0.088,0.078,0.098,0.088,0.098,0.093
17.441,0.073,0.073,0.078,0.083,0.093,0.083,0.088
17.461,0.073,0.078,0.083,0.093,0.093,0.088,0.088
17.48,0.068,0.073,0.093,0.078,0.093,0.088,0.093
17.5,0.063,0.088,0.088,0.103,0.088,0.098,0.093
17.52,0.073,0.078,0.083,0.083,0.088,0.088,0.107
17.539,0.068,0.083,0.073,0.093,0.083,0.093,0.088
17.559,0.073,0.073,0.083,0.083,0.083,0.083,0.093
17.578,0.073,0.088,0.083,0.093,0.088,0.098,0.093
17.598,0.073,0.073,0.093,0.088,0.098,0.093,0.093
17.617,0.063,0.083,0.083,0.098,0.093,0.098,0.098
17.637,0.073,0.073,0.083,0.088,0.093,0.083,0.093
17.656,0.073,0.083,0.078,0.093,0.083,0.093,0.088
17.676,0.078,0.073,0.093,0.088,0.093,0.088,0.088
17.695,0.068,0.083,0.078,0.088,0.083,0.098,0.093
17.715,0.073,0.078,0.093,0.088,0.093,0.088,0.098
17.734,0.063,0.083,0.078,0.088,0.083,0.098,0.093
17.754,0.078,0.078,0.088,0.088,0.093,0.093,0.098
17.773,0.068,0.083,0.083,0.088,0.083,0.093,0.083
17.793,0.078,0.078,0.088,0.083,0.093,0.093,0.098
17.812,0.068,0.073,0.083,0.083,0.083,0.093,0.093
17.832,0.073,0.083,0.088,0.088,0.098,0.088,0.098
17.852,0.068,0.078,0.083,0.088,0.083,0.098,0.093
17.871,0.083,0.078,0.083,0.093,0.093,0.107,0.093
17.891,0.073,0.078,0.083,0.088,0.088,0.088,0.083
17.91,0.073,0.078,0.078,0.088,0.093,0.093,0.103
17.93,0.068,0.078,0.083,0.083,0.088,0.083,0.083
17.949,0.073,0.083,0.083,0.088,0.093,0.098,0.098
17.969,0.068,0.083,0.083,0.088,0.093,0.093,0.093
17.988,0.078,0.078,0.078,0.093,0.093,0.088,0.093
18.008,0.073,0.068,0.083,0.083,0.093,0.083,0.088
18.027,0.073,0.078,0.083,0.088,0.083,0.088,0.098
18.047,0.073,0.078,0.088,0.078,0.088,0.083,0.088
18.066,0.068,0.088,0.088,0.098,0.093,0.098,0.093
18.086,0.068,0.078,0.088,0.088,0.088,0.093,0.093
18.105,0.059,0.078,0.073,0.093,0.088,0.093,0.088
18.125,0.073,0.073,0.083,0.083,0.088,0.083,0.093
18.145,0.068,0.093,0.083,0.088,0.083,0.098,0.088
18.164,0.068,0.073,0.093,0.083,0.093,0.088,0.088
18.184,0.068,0.083,0.083,0.093,0.093,0.098,0.093
18.203,0.073,0.073,0.088,0.088,0.088,0.088,0.093
18.223,0.068,0.078,0.073,0.093,0.083,0.093,0.088
18.242,0.078,0.073,0.093,0.083,0.093,0.083,0.093
18.262,0.073,0.088,0.083,0.088,0.088,0.103,0.093
18.281,0.068,0.073,0.088,0.088,0.098,0.088,0.098
18.301,0.063,0.083,0.078,0.093,0.088,0.093,0.093
18.32,0.073,0.078,0.088,0.088,0.088,0.088,0.093
18.34,0.073,0.078,0.073,0.088,0.083,0.093,0.083
18.359,0.083,0.073,0.093,0.103,0.098,0.088,0.093
18.379,0.073,0.078,0.083,0.083,0.083,0.098,0.093
18.398,0.073,0.078,0.088,0.088,0.098,0.093,0.098
18.418,0.063,0.078,0.078,0.088,0.083,0.093,0.088
18.437,0.078,0.078,0.088,0.093,0.088,0.093,0.093
18.457,0.068,0.073,0.078,0.083,0.083,0.093,0.083
18.477,0.078,0.078,0.088,0.088,0.098,0.088,0.098
18.496,0.068,0.078,0.083,0.083,0.088,0.078,0.093
18.516,0.073,0.088,0.088,0.083,0.093,0.093,0.098
18.535,0.068,0.083,0.093,0.088,0.083,0.088,0.088
18.555,0.083,0.078,0.083,0.098,0.093,0.088,0.093
18.574,0.063,0.073,0.083,0.083,0.088,0.088,0.083
18.594,0.073,0.078,0.083,0.088,0.093,0.088,0.103
18.613,0.068,0.078,0.088,0.078,0.088,0.088,0.093
18.633,0.073,0.088,0.088,0.093,0.088,0.093,0.093
18.652,0.068,0.078,0.083,0.088,0.093,0.093,0.088
18.672,0.073,0.078,0.078,0.098,0.088,0.093,0.093
18.691,0.068,0.068,0.083,0.078,0.093,0.088,0.088
18.711,0.073,0.088,0.083,0.088,0.088,0.088,0.098
18.73,0.078,0.078,0.093,0.083,0.093,0.088,0.088
18.75,0.068,0.088,0.083,0.098,0.088,0.098,0.093
18.77,0.068,0.073,0.083,0.088,0.088,0.088,0.093
18.789,0.068,0.078,0.078,0.093,0.083,0.088,0.093
18.809,0.073,0.073,0.088,0.083,0.088,0.083,0.083
18.828,0.068,0.088,0.083,0.088,0.088,0.098,0.088
18.848,0.073,0.073,0.093,0.083,0.093,0.088,0.093
18.867,0.063,0.083,0.083,0.093,0.088,0.098,0.088
18.887,0.068,0.073,0.083,0.088,0.088,0.088,0.088
18.906,0.068,0.083,0.078,0.093,0.083,0.093,0.088
18.926,0.078,0.073,0.093,0.088,0.093,0.083,0.093
18.945,0.068,0.083,0.078,0.083,0.088,0.098,0.088
18.965,0.068,0.083,0.093,0.083,0.103,0.088,0.098
18.984,0.068,0.083,0.078,0.068,0.088,0.098,0.098
19.004,0.073,0.093,0.088,0.093,0.093,0.093,0.093
19.023,0.068,0.073,0.083,0.093,0.083,0.093,0.083
19.043,0.078,0.078,0.088,0.088,0.103,0.088,0.093
19.062,0.063,0.078,0.083,0.083,0.093,0.093,0.088
19.082,0.073,0.083,0.088,0.083,0.093,0.093,0.103
19.102,0.063,0.083,0.083,0.083,0.083,0.093,0.093
19.121,0.083,0.078,0.083,0.093,0.093,0.107,0.093
19.141,0.063,0.073,0.083,0.093,0.088,0.093,0.078
19.16,0.078,0.078,0.078,0.088,0.093,0.088,0.098
19.18,0.068,0.078,0.083,0.078,0.088,0.088,0.088
19.199,0.073,0.088,0.083,0.093,0.093,0.098,0.098
19.219,0.068,0.083,0.083,0.083,0.088,0.093,0.088
19.238,0.078,0.078,0.088,0.103,0.088,0.093,0.088
19.258,0.068,0.073,0.088,0.088,0.093,0.088,0.088
19.277,0.073,0.088,0.088,0.088,0.088,0.088,0.098
19.297,0.078,0.078,0.083,0.083,0.093,0.093,0.088
19.316,0.073,0.083,0.088,0.098,0.093,0.098,0.103
19.336,0.068,0.073,0.088,0.083,0.088,0.088,0.088
19.355,0.068,0.083,0.078,0.093,0.088,0.088,0.093
19.375,0.073,0.073,0.083,0.083,0.088,0.083,0.088
19.395,0.073,0.088,0.083,0.088,0.088,0.093,0.098
19.414,0.083,0.078,0.093,0.078,0.098,0.088,0.093
19.434,0.068,0.083,0.078,0.093,0.098,0.103,0.098
19.453,0.073,0.078,0.083,0.088,0.093,0.088,0.093
19.473,0.068,0.083,0.073,0.093,0.083,0.098,0.093
19.492,0.078,0.078,0.093,0.088,0.088,0.088,0.093
19.512,0.073,0.083,0.083,0.083,0.088,0.098,0.083
19.531,0.073,0.078,0.088,0.088,0.098,0.088,0.093
19.551,0.063,0.078,0.078,0.083,0.088,0.093,0.093
19.57,0.068,0.088,0.083,0.088,0.088,0.088,0.088
19.59,0.068,0.073,0.078,0.093,0.073,0.093,0.083
19.609,0.078,0.083,0.093,0.088,0.093,0.088,0.088
19.629,0.068,0.078,0.083,0.083,0.088,0.098,0.088
19.648,0.068,0.078,0.088,0.088,0.103,0.093,0.098
19.668,0.063,0.078,0.078,0.088,0.083,0.093,0.093
19.687,0.078,0.083,0.083,0.093,0.093,0.088,0.088
19.707,0.073,0.078,0.078,0.093,0.083,0.093,0.083
19.727,0.078,0.078,0.088,0.088,0.098,0.093,0.088
19.746,0.063,0.083,0.088,0.078,0.083,0.078,0.088
19.766,0.073,0.088,0.088,0.083,0.093,0.088,0.098
19.785,0.063,0.078,0.093,0.083,0.088,0.093,0.088
19.805,0.083,0.083,0.083,0.098,0.088,0.088,0.093
19.824,0.063,0.073,0.083,0.083,0.088,0.088,0.078
19.844,0.078,0.083,0.083,0.093,0.093,0.093,0.093
19.863,0.068,0.078,0.088,0.078,0.088,0.088,0.088
19.883,0.073,0.093,0.083,0.093,0.093,0.093,0.098
19.902,0.068,0.073,0.083,0.083,0.098,0.093,0.083
19.922,0.073,0.083,0.083,0.093,0.083,0.093,0.093
19.941,0.068,0.073,0.083,0.083,0.083,0.083,0.083
19.961,0.073,0.088,0.083,0.093,0.078,0.093,0.098
19.98,0.073,0.073,0.093,0.083,0.093,0.088,0.093
