Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
3.008,-0.01,-0.015,-0.029,-0.02,-0.024,-0.034,-0.015
3.027,-0.01,-0.024,-0.01,-0.024,-0.024,-0.02,-0.029
3.047,-0.015,-0.005,-0.02,-0.02,-0.024,-0.024,-0.015
3.066,-0.01,-0.015,-0.015,-0.024,-0.024,-0.02,-0.029
3.086,-0.01,-0.005,-0.02,-0.02,-0.01,-0.029,-0.024
3.105,-0.005,-0.02,-0.015,-0.02,-0.029,-0.024,-0.029
3.125,-0.01,-0.01,-0.02,-0.02,-0.024,-0.029,-0.015
3.145,-0.01,-0.02,-0.015,-0.005,-0.02,-0.015,-0.029
3.164,-0.02,-0.01,-0.02,-0.024,-0.02,-0.024,-0.02
3.184,-0.005,-0.02,-0.015,-0.02,-0.02,-0.02,-0.024
3.203,-0.01,-0.01,-0.02,-0.02,-0.024,-0.029,-0.02
3.223,-0.005,-0.02,-0.02,-0.015,-0.029,-0.02,-0.034
3.242,-0.015,-0.01,-0.02,-0.02,-0.024,-0.029,-0.024
3.262,-0.01,-0.015,-0.034,-0.024,-0.024,-0.02,-0.024
3.281,-0.015,-0.015,-0.015,-0.029,-0.015,-0.024,-0.024
3.301,-0.005,-0.015,-0.02,-0.02,-0.024,-0.02,-0.015
3.32,-0.015,-0.015,-0.024,-0.02,-0.02,-0.02,-0.024
3.34,-0.005,-0.005,-0.02,-0.015,-0.029,-0.024,-0.029
3.359,-0.015,-0.015,-0.02,-0.024,-0.01,-0.024,-0.024
3.379,-0.01,-0.015,-0.02,-0.02,-0.024,-0.039,-0.02
3.398,-0.015,-0.02,-0.015,-0.029,-0.015,-0.02,-0.024
3.418,-0.005,-0.01,-0.02,-0.015,-0.029,-0.024,-0.02
3.437,-0.01,-0.015,-0.02,-0.02,-0.02,-0.029,-0.024
3.457,-0.01,-0.015,-0.02,-0.01,-0.029,-0.024,-0.029
